Merchantnumber,recency,frequency,monetary_value
62006362006283,0,5,4861004
62006362006286,0,6,16501004
62006362006292,13,2,426004
62006362006296,3,1,1004
62006362006305,1,1,1004
62006362006318,15,2,2011
62006362006334,10,4,15551004
62006362006339,4,18,759969158
62006362006342,1,37,1228551004
62006362006347,1,29,4817009
62006362006348,9,181,180791004
62006362006350,5,51,1311617004
62006362006353,0,296,473541004
62006362006359,4,2,2801004
62006362006365,4,5,2521004
62006362006381,6,8,5851004
62006362006386,0,47,951994432
62006362006389,14,1,1004
62006362006399,1,26,62626004
62006362006400,0,66,21791004
62006362006406,1,4,991004
62006362006414,5,22,4027004
62006362006418,0,50,11429004
62006362006421,0,18,22491004
62006362006422,2,35,161461004
62006362006433,0,538,287281004
62006362006436,27,2,2005
62006362006437,0,19,6675004
62006362006444,19,2,13501004
62006362006447,0,18,23511004
62006362006448,0,58,139381004
62006362006454,25,32,3015004
62006362006457,13,24,26681004
62006362006459,1,43,1488856004
62006362006470,0,55,38548008
62006362006472,0,85,91444704
62006362006474,0,189,159371004
62006362006475,0,20,10653004
62006362006481,0,47,133436504
62006362006489,1,58,37167004
62006362006506,0,19,621004
62006362006507,2,171,16545004
62006362006509,0,92,163749504
62006362006516,6,32,6614004
62006362006518,0,44,2239004
62006362006534,0,142,136296004
62006362006551,1,25,14491004
62006362006558,0,49,6683004
62006362006564,0,14,892004
62006362006586,8,10,1987204
62006362006595,0,26,186101004
62006362006604,2,21,1292504016
62006362006611,4,19,25791004
62006362006623,1,11,2106004
62006362006637,19,3,4301004
62006362006639,15,6,1221004
62006362006642,0,27,1102781004
62006362006655,0,56,52011004
62006362006657,4,688,92988004
62006362006664,0,27,64001004
62006362006667,1,5,135100000
62006362006668,0,36,29541004
62006362006681,2,16,2995000
62006362006685,0,26,55181004
62006362006687,15,56,4955004
62006362006691,0,95,128841004
62006362006693,0,364,416092504
62006362006695,13,3,502004
62006362006699,0,122,562961704
